Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Harrisburg/Scranton,Weekly,"2025-01-06 00:00:00",Conventional,1.062304285,571670.40,309905.14,76371.08,2240.93,183153.24,,,
Hartford/Springfield,Weekly,"2025-01-26 00:00:00",Conventional,1.233092089,407991.47,136571.66,128658.13,527.81,142233.87,,,
Hartford/Springfield,Weekly,"2025-01-19 00:00:00",Conventional,1.014967339,531230.94,201970.15,194483.96,687.24,134089.59,,,
Hartford/Springfield,Weekly,"2025-01-12 00:00:00",Conventional,1.175867306,437966.40,178200.52,125814.44,672.75,133278.69,,,
Hartford/Springfield,Weekly,"2025-01-06 00:00:00",Conventional,1.017872734,519592.76,221381.04,167677.89,521.75,130012.08,,,
Houston,Weekly,"2025-01-26 00:00:00",Conventional,0.989467000,1007913.70,655451.79,123734.62,719.45,228007.83,,,
Houston,Weekly,"2025-01-19 00:00:00",Conventional,0.956805822,1147068.04,703570.14,153047.23,615.85,289834.82,,,
Houston,Weekly,"2025-01-12 00:00:00",Conventional,0.933129621,1128995.47,702495.60,140970.08,354.08,285175.71,,,
Houston,Weekly,"2025-01-06 00:00:00",Conventional,1.033534459,1008321.93,612082.65,114649.54,421.88,281167.87,,,
Indianapolis,Weekly,"2025-01-26 00:00:00",Conventional,1.195191210,308315.90,150701.01,68154.44,324.36,89136.09,,,
Indianapolis,Weekly,"2025-01-19 00:00:00",Conventional,1.068856894,342200.28,180262.11,49967.89,390.80,111579.47,,,
Indianapolis,Weekly,"2025-01-12 00:00:00",Conventional,0.992407502,340347.15,179704.60,46033.85,224.95,114383.76,,,
Indianapolis,Weekly,"2025-01-06 00:00:00",Conventional,1.299685104,358728.03,154590.86,111806.15,552.29,91778.72,,,
Jacksonville,Weekly,"2025-01-26 00:00:00",Conventional,1.144604107,293880.03,190588.02,1944.89,352.98,100994.14,,,
Jacksonville,Weekly,"2025-01-19 00:00:00",Conventional,1.009581571,316909.76,192469.00,2925.58,394.57,121120.60,,,
Jacksonville,Weekly,"2025-01-12 00:00:00",Conventional,1.035866560,337711.70,206386.79,3068.63,381.25,127875.03,,,
Jacksonville,Weekly,"2025-01-06 00:00:00",Conventional,1.054806527,322969.51,222283.49,2951.17,405.41,97329.44,,,
"Las Vegas",Weekly,"2025-01-26 00:00:00",Conventional,1.005996152,498082.74,286102.04,39354.29,7593.92,165032.49,,,
"Las Vegas",Weekly,"2025-01-19 00:00:00",Conventional,1.157542927,441613.79,258631.65,41235.75,6716.11,135030.28,,,
"Las Vegas",Weekly,"2025-01-12 00:00:00",Conventional,1.150895120,508072.79,296992.82,67215.96,7096.99,136767.02,,,
"Las Vegas",Weekly,"2025-01-06 00:00:00",Conventional,1.224052013,470299.33,203314.55,95274.04,7128.67,164582.07,,,
"Los Angeles",Weekly,"2025-01-26 00:00:00",Conventional,1.305516366,3247611.62,1965035.53,137198.66,271468.65,873908.78,,,
"Los Angeles",Weekly,"2025-01-19 00:00:00",Conventional,1.259114052,3048055.41,1777416.60,118419.72,266119.71,886099.38,,,
"Los Angeles",Weekly,"2025-01-12 00:00:00",Conventional,1.229490741,3378501.83,1944608.60,201317.34,320516.57,912059.31,,,
"Los Angeles",Weekly,"2025-01-06 00:00:00",Conventional,1.184279520,3284049.36,2074014.37,157290.04,295942.59,756802.36,,,
Louisville,Weekly,"2025-01-26 00:00:00",Conventional,1.200805257,181480.15,93618.19,34439.63,126.53,53295.81,,,
Louisville,Weekly,"2025-01-19 00:00:00",Conventional,1.147605047,168387.48,93786.18,19844.37,157.58,54599.34,,,
Louisville,Weekly,"2025-01-12 00:00:00",Conventional,1.049215807,170124.94,99864.79,18169.41,82.62,52008.12,,,
Louisville,Weekly,"2025-01-06 00:00:00",Conventional,1.433294016,188922.47,73132.94,61315.89,130.58,54343.06,,,
"Miami/Ft. Lauderdale",Weekly,"2025-01-26 00:00:00",Conventional,1.193870753,1334407.22,769264.09,38345.76,1289.50,525507.87,,,
"Miami/Ft. Lauderdale",Weekly,"2025-01-19 00:00:00",Conventional,1.061457087,1410853.16,774804.18,61951.77,1460.55,572636.67,,,
"Miami/Ft. Lauderdale",Weekly,"2025-01-12 00:00:00",Conventional,1.114087147,1410011.63,745448.56,47703.70,1263.31,615596.06,,,
"Miami/Ft. Lauderdale",Weekly,"2025-01-06 00:00:00",Conventional,1.055470062,1463867.03,925255.32,59268.56,1581.83,477761.32,,,
Nashville,Weekly,"2025-01-26 00:00:00",Conventional,1.181828115,409515.55,245261.38,30917.51,129.18,133207.47,,,
Nashville,Weekly,"2025-01-19 00:00:00",Conventional,1.073802944,384891.89,223407.36,24157.96,150.69,137175.88,,,
Nashville,Weekly,"2025-01-12 00:00:00",Conventional,1.076998539,384081.98,235942.50,22797.66,144.39,125197.43,,,
Nashville,Weekly,"2025-01-06 00:00:00",Conventional,1.217821977,398510.12,228302.51,54414.00,138.06,115655.56,,,
"Northern New England",Weekly,"2025-01-26 00:00:00",Conventional,0.940176805,657943.26,348003.05,218230.87,230.93,91478.41,,,
"Northern New England",Weekly,"2025-01-19 00:00:00",Conventional,1.019345081,522133.25,242657.70,172284.79,184.32,107006.43,,,
"Northern New England",Weekly,"2025-01-12 00:00:00",Conventional,1.001253218,537224.64,271366.27,153942.69,149.89,111765.80,,,
"Northern New England",Weekly,"2025-01-06 00:00:00",Conventional,0.915221096,720676.69,396739.95,236393.94,225.68,87317.12,,,
"New Orleans/Mobile",Weekly,"2025-01-26 00:00:00",Conventional,0.975685328,274268.82,183445.89,5578.85,336.22,84907.86,,,
"New Orleans/Mobile",Weekly,"2025-01-19 00:00:00",Conventional,0.913932075,339006.57,228528.48,6774.40,567.43,103136.25,,,
"New Orleans/Mobile",Weekly,"2025-01-12 00:00:00",Conventional,0.899497235,311349.98,211841.39,7127.94,478.75,91901.90,,,
"New Orleans/Mobile",Weekly,"2025-01-06 00:00:00",Conventional,0.908214766,288679.71,201754.62,7178.99,382.16,79363.93,,,
"New York",Weekly,"2025-01-26 00:00:00",Conventional,1.377488355,2171982.41,774181.28,492961.81,18304.50,886534.82,,,
"New York",Weekly,"2025-01-19 00:00:00",Conventional,1.129172755,3015235.94,1178814.70,922005.25,20545.28,893870.71,,,
"New York",Weekly,"2025-01-12 00:00:00",Conventional,1.286120370,2337728.78,912768.35,575275.66,20783.19,828901.57,,,
"New York",Weekly,"2025-01-06 00:00:00",Conventional,1.166454465,2528535.62,1016792.00,704992.73,20355.90,786394.99,,,
Orlando,Weekly,"2025-01-26 00:00:00",Conventional,1.167290233,752956.09,427731.20,17700.59,99.58,307424.73,,,
Orlando,Weekly,"2025-01-19 00:00:00",Conventional,1.074191213,757793.09,391871.28,18952.39,264.33,346705.08,,,
Orlando,Weekly,"2025-01-12 00:00:00",Conventional,1.068655661,869337.84,411742.80,23596.16,1269.95,432728.93,,,
Orlando,Weekly,"2025-01-06 00:00:00",Conventional,1.039184506,868163.93,529182.97,14277.95,1594.05,323108.97,,,
Peoria/Springfield,Weekly,"2025-01-26 00:00:00",Conventional,1.024202693,169949.34,91176.78,18607.78,1997.73,58167.05,,,
Peoria/Springfield,Weekly,"2025-01-19 00:00:00",Conventional,0.917803606,183574.98,96254.57,14291.75,2357.12,70671.55,,,
Peoria/Springfield,Weekly,"2025-01-12 00:00:00",Conventional,0.886690329,184939.11,100561.30,20356.87,1527.15,62493.79,,,
Peoria/Springfield,Weekly,"2025-01-06 00:00:00",Conventional,0.967420311,206440.35,115171.94,32663.73,2143.27,56461.40,,,
Philadelphia,Weekly,"2025-01-26 00:00:00",Conventional,1.152605668,763965.76,311854.91,111573.53,1847.67,338689.64,,,
Philadelphia,Weekly,"2025-01-19 00:00:00",Conventional,1.030412602,917858.75,367882.60,163791.60,2435.82,383748.74,,,
Philadelphia,Weekly,"2025-01-12 00:00:00",Conventional,1.033280969,868713.37,407385.15,128846.03,2238.49,330243.71,,,
Philadelphia,Weekly,"2025-01-06 00:00:00",Conventional,1.034508698,854637.77,381201.55,136625.20,2092.10,334718.92,,,
Phoenix/Tucson,Weekly,"2025-01-26 00:00:00",Conventional,0.903715161,1357325.12,887015.08,110920.53,18111.11,341278.39,,,
Phoenix/Tucson,Weekly,"2025-01-19 00:00:00",Conventional,1.007509971,1240293.30,835549.21,113119.73,15899.21,275725.15,,,
Phoenix/Tucson,Weekly,"2025-01-12 00:00:00",Conventional,0.987006406,1496802.46,1046737.49,171196.67,15403.21,263465.09,,,
Phoenix/Tucson,Weekly,"2025-01-06 00:00:00",Conventional,1.122056797,1366950.33,722153.02,329686.22,15165.02,299946.08,,,
Pittsburgh,Weekly,"2025-01-26 00:00:00",Conventional,1.004961367,255682.15,129287.96,35698.15,43.02,90653.03,,,
Pittsburgh,Weekly,"2025-01-19 00:00:00",Conventional,0.987703902,248969.52,129758.27,22865.43,36.87,96308.96,,,
Pittsburgh,Weekly,"2025-01-12 00:00:00",Conventional,0.953708003,291352.57,157976.64,38849.95,13.93,94512.05,,,
Pittsburgh,Weekly,"2025-01-06 00:00:00",Conventional,0.979337440,247179.01,120834.79,31406.70,35.02,94902.49,,,
Portland,Weekly,"2025-01-26 00:00:00",Conventional,1.159082261,733633.29,497936.67,91014.76,32597.66,112084.19,,,
Portland,Weekly,"2025-01-19 00:00:00",Conventional,1.375631104,618657.83,391827.68,70049.02,30478.03,126303.10,,,
Portland,Weekly,"2025-01-12 00:00:00",Conventional,1.205785481,718488.80,508901.78,65289.03,29834.22,114463.77,,,
Portland,Weekly,"2025-01-06 00:00:00",Conventional,1.405233961,694447.96,369514.02,169164.57,32119.36,123650.02,,,
Providence,Weekly,"2025-01-26 00:00:00",Conventional,0.955847807,137027.46,73297.60,27202.41,232.93,36294.52,,,
Providence,Weekly,"2025-01-19 00:00:00",Conventional,0.928409955,142826.49,73239.89,35387.65,310.34,33888.62,,,
Providence,Weekly,"2025-01-12 00:00:00",Conventional,0.953665826,131566.96,74614.63,24393.70,204.52,32354.12,,,
Providence,Weekly,"2025-01-06 00:00:00",Conventional,0.928879642,161898.67,96423.08,37071.96,175.92,28227.71,,,
Raleigh/Greensboro,Weekly,"2025-01-26 00:00:00",Conventional,1.186429286,512550.34,206142.91,66346.14,273.35,239787.94,,,
Raleigh/Greensboro,Weekly,"2025-01-19 00:00:00",Conventional,1.096938473,553123.15,242671.12,79122.14,338.25,230991.64,,,
Raleigh/Greensboro,Weekly,"2025-01-12 00:00:00",Conventional,1.050949687,591413.45,267753.98,82792.12,247.34,240620.01,,,
Raleigh/Greensboro,Weekly,"2025-01-06 00:00:00",Conventional,1.107133273,521182.29,225593.83,68226.44,284.30,227077.72,,,
Richmond/Norfolk,Weekly,"2025-01-26 00:00:00",Conventional,1.138752405,382556.91,183864.61,47955.95,710.18,150026.17,,,
Richmond/Norfolk,Weekly,"2025-01-19 00:00:00",Conventional,1.141898728,352882.83,173827.43,43193.83,779.11,135082.46,,,
Richmond/Norfolk,Weekly,"2025-01-12 00:00:00",Conventional,1.074657649,429089.01,235887.28,45250.09,880.82,147070.81,,,
Richmond/Norfolk,Weekly,"2025-01-06 00:00:00",Conventional,1.097396785,429308.06,231890.36,44546.64,771.17,152099.88,,,
Roanoke,Weekly,"2025-01-26 00:00:00",Conventional,1.081727634,228103.88,126478.21,27182.72,23.91,74419.04,,,
Roanoke,Weekly,"2025-01-19 00:00:00",Conventional,1.097218496,225493.66,131806.06,19505.67,12.06,74169.86,,,
Roanoke,Weekly,"2025-01-12 00:00:00",Conventional,1.059168769,244841.34,147959.18,25550.01,31.85,71300.31,,,
Roanoke,Weekly,"2025-01-06 00:00:00",Conventional,1.083655925,244560.60,154440.83,20446.28,32.25,69641.24,,,
Sacramento,Weekly,"2025-01-26 00:00:00",Conventional,1.241971931,530482.16,340031.78,73863.30,5948.71,110638.37,,,
Sacramento,Weekly,"2025-01-19 00:00:00",Conventional,1.288601067,464546.23,301090.01,43430.65,4592.61,115432.97,,,
Sacramento,Weekly,"2025-01-12 00:00:00",Conventional,1.168275119,529479.65,332738.38,75011.86,4825.37,116904.04,,,
Sacramento,Weekly,"2025-01-06 00:00:00",Conventional,1.320005934,458003.35,275318.52,53684.84,4562.85,124437.13,,,
"San Diego",Weekly,"2025-01-26 00:00:00",Conventional,1.205853848,658246.03,397557.03,31629.91,42948.06,186111.03,,,
"San Diego",Weekly,"2025-01-19 00:00:00",Conventional,1.206800495,627909.85,363972.71,28826.71,46682.55,188427.87,,,
"San Diego",Weekly,"2025-01-12 00:00:00",Conventional,1.111941546,684171.99,406672.22,46467.33,50647.92,180384.52,,,
"San Diego",Weekly,"2025-01-06 00:00:00",Conventional,1.191226422,642920.58,382035.51,39021.66,48020.48,173842.93,,,
"San Francisco",Weekly,"2025-01-26 00:00:00",Conventional,1.276891581,772810.03,575622.47,38842.99,6576.55,151768.03,,,
"San Francisco",Weekly,"2025-01-19 00:00:00",Conventional,1.404427859,737606.26,542073.38,30073.45,4816.14,160643.29,,,
"San Francisco",Weekly,"2025-01-12 00:00:00",Conventional,1.179110442,802157.56,595614.04,51038.28,5428.90,150076.35,,,
"San Francisco",Weekly,"2025-01-06 00:00:00",Conventional,1.422943930,701203.10,510517.16,33580.46,3277.36,153828.12,,,
Seattle,Weekly,"2025-01-26 00:00:00",Conventional,1.556817069,682561.38,445647.90,130790.97,1750.07,104372.44,,,
Seattle,Weekly,"2025-01-19 00:00:00",Conventional,1.735910826,536478.23,310583.11,99582.62,1695.06,124617.44,,,
Seattle,Weekly,"2025-01-12 00:00:00",Conventional,1.549860434,567952.45,359860.99,92106.44,2376.02,113609.01,,,
Seattle,Weekly,"2025-01-06 00:00:00",Conventional,1.541502476,611041.52,288910.29,212541.67,2867.70,106721.87,,,
"South Carolina",Weekly,"2025-01-26 00:00:00",Conventional,1.147426892,654126.65,354723.93,48008.58,506.50,250887.64,,,
"South Carolina",Weekly,"2025-01-19 00:00:00",Conventional,1.093512461,750247.88,396919.33,59458.80,526.40,293343.35,,,
"South Carolina",Weekly,"2025-01-12 00:00:00",Conventional,1.055179929,757274.15,400334.80,64716.31,563.75,291659.29,,,
"South Carolina",Weekly,"2025-01-06 00:00:00",Conventional,1.105519430,694793.07,379981.37,70808.11,501.63,243501.96,,,
Spokane,Weekly,"2025-01-26 00:00:00",Conventional,1.307619260,98164.64,64773.07,15111.08,218.47,18062.03,,,
Spokane,Weekly,"2025-01-19 00:00:00",Conventional,1.270211138,86467.25,54008.13,9644.10,247.57,22567.46,,,
Spokane,Weekly,"2025-01-12 00:00:00",Conventional,1.183693896,92928.75,63090.90,9606.47,299.20,19932.18,,,
Spokane,Weekly,"2025-01-06 00:00:00",Conventional,1.247302541,97200.58,53713.97,23649.97,397.73,19438.91,,,
"St. Louis",Weekly,"2025-01-26 00:00:00",Conventional,0.880479058,295359.80,174424.15,8258.85,221.94,112454.86,,,
"St. Louis",Weekly,"2025-01-19 00:00:00",Conventional,0.847693913,317157.50,191465.31,10671.00,190.83,114830.36,,,
"St. Louis",Weekly,"2025-01-12 00:00:00",Conventional,0.841999092,295418.05,183974.02,10645.55,148.66,100649.82,,,
"St. Louis",Weekly,"2025-01-06 00:00:00",Conventional,0.781563747,363964.03,231470.84,13807.94,196.29,118488.96,,,
Syracuse,Weekly,"2025-01-26 00:00:00",Conventional,1.085159445,123663.11,39232.27,28416.65,490.76,55523.44,,,
Syracuse,Weekly,"2025-01-19 00:00:00",Conventional,0.992338585,131737.22,41525.42,31278.10,601.74,58331.97,,,
Syracuse,Weekly,"2025-01-12 00:00:00",Conventional,0.965751474,146211.44,59775.21,25539.03,577.84,60319.36,,,
Syracuse,Weekly,"2025-01-06 00:00:00",Conventional,0.980857471,119846.06,45104.85,30481.57,508.96,43750.69,,,
Tampa,Weekly,"2025-01-26 00:00:00",Conventional,1.235149819,695317.42,432807.64,19003.65,311.57,243194.55,,,
Tampa,Weekly,"2025-01-19 00:00:00",Conventional,1.184310269,675901.77,377570.93,14016.30,333.46,283981.08,,,
Tampa,Weekly,"2025-01-12 00:00:00",Conventional,1.126224235,819247.60,448900.23,12628.78,298.12,357420.47,,,
Tampa,Weekly,"2025-01-06 00:00:00",Conventional,1.070633241,844735.04,559153.68,12481.04,262.09,272838.23,,,
Toledo,Weekly,"2025-01-26 00:00:00",Conventional,1.225558547,159720.77,93467.03,27316.92,754.25,38182.58,,,
Toledo,Weekly,"2025-01-19 00:00:00",Conventional,1.162098370,172993.90,97681.35,26817.73,728.94,47765.88,,,
Toledo,Weekly,"2025-01-12 00:00:00",Conventional,1.088402798,183724.86,100574.52,29178.01,812.78,53159.55,,,
Toledo,Weekly,"2025-01-06 00:00:00",Conventional,1.284398430,171045.23,72312.68,58828.82,1310.69,38593.03,,,
"West Tex/New Mexico",Weekly,"2025-01-26 00:00:00",Conventional,1.008020449,895406.32,483379.00,63781.19,8607.36,339638.78,,,
"West Tex/New Mexico",Weekly,"2025-01-19 00:00:00",Conventional,1.010001986,951267.38,521252.18,75259.58,6406.38,348349.23,,,
"West Tex/New Mexico",Weekly,"2025-01-12 00:00:00",Conventional,1.032038708,926873.28,500568.93,76675.13,5942.82,343686.40,,,
"West Tex/New Mexico",Weekly,"2025-01-06 00:00:00",Conventional,1.014692453,927617.85,482554.94,98366.95,7700.40,338995.56,,,
Wichita,Weekly,"2025-01-26 00:00:00",Conventional,1.101673448,126862.13,79737.76,6999.56,77.62,40047.19,,,
Wichita,Weekly,"2025-01-19 00:00:00",Conventional,1.098301954,132327.34,84231.67,7395.68,74.82,40625.17,,,
Wichita,Weekly,"2025-01-12 00:00:00",Conventional,1.013429526,113600.31,77299.06,6354.11,41.58,29905.57,,,
Wichita,Weekly,"2025-01-06 00:00:00",Conventional,1.040011616,144192.99,96453.40,8844.63,58.94,38836.02,,,
"Total U.S.",Weekly,"2025-01-26 00:00:00",Conventional,1.150577001,45996736.43,25741077.06,5282063.89,533253.16,14440342.32,,,
"Total U.S.",Weekly,"2025-01-19 00:00:00",Conventional,1.092098206,48385236.21,26305566.81,5901886.22,527076.16,15650707.01,,,
"Total U.S.",Weekly,"2025-01-12 00:00:00",Conventional,1.085620797,48929596.39,27586268.07,5570616.75,614165.38,15158546.20,,,
"Total U.S.",Weekly,"2025-01-06 00:00:00",Conventional,1.122250142,48542983.36,26416745.69,7450101.34,633771.65,14042364.68,,,
California,Weekly,"2025-01-26 00:00:00",Conventional,1.262242568,6672741.27,4301182.89,402478.47,366304.16,1602775.74,,,
California,Weekly,"2025-01-19 00:00:00",Conventional,1.267808574,6223410.40,3899982.43,314972.08,361298.92,1647156.97,,,
California,Weekly,"2025-01-12 00:00:00",Conventional,1.183626147,6921408.45,4311866.66,528235.97,427902.97,1653402.85,,,
California,Weekly,"2025-01-06 00:00:00",Conventional,1.231446105,6437693.19,4157031.04,398104.10,393181.25,1489376.80,,,
"Great Lakes",Weekly,"2025-01-26 00:00:00",Conventional,1.165029590,5213561.72,2828164.16,796845.09,38639.96,1549912.50,,,
"Great Lakes",Weekly,"2025-01-19 00:00:00",Conventional,1.049888115,5879704.74,2994994.61,712772.30,43616.65,2128321.19,,,
"Great Lakes",Weekly,"2025-01-12 00:00:00",Conventional,1.011480483,5888021.31,3133214.15,733658.95,49359.82,1971788.39,,,
"Great Lakes",Weekly,"2025-01-06 00:00:00",Conventional,1.154437416,5905928.39,2793992.10,1522635.26,89397.64,1499903.40,,,
Midsouth,Weekly,"2025-01-26 00:00:00",Conventional,1.173817094,5088203.13,2516672.05,580642.89,5034.21,1985853.97,,,
Midsouth,Weekly,"2025-01-19 00:00:00",Conventional,1.109770410,5230363.70,2619932.15,620482.98,5202.74,1984745.84,,,
Midsouth,Weekly,"2025-01-12 00:00:00",Conventional,1.082188735,5458839.33,2927344.17,592373.15,5092.09,1934029.92,,,
Midsouth,Weekly,"2025-01-06 00:00:00",Conventional,1.146432336,5307178.38,2633574.38,681777.70,5468.39,1986357.91,,,
Northeast,Weekly,"2025-01-26 00:00:00",Conventional,1.147050374,6590532.69,2677310.58,1489126.77,15331.03,2408764.31,,,
Northeast,Weekly,"2025-01-19 00:00:00",Conventional,1.021948616,7937951.80,3244543.05,2158983.25,17004.66,2517420.84,,,
Northeast,Weekly,"2025-01-12 00:00:00",Conventional,1.105184916,6801404.18,2965086.91,1454096.33,15385.01,2366835.94,,,
Northeast,Weekly,"2025-01-06 00:00:00",Conventional,1.037487859,7311991.13,3254137.01,1875591.53,14364.53,2167898.06,,,
Plains,Weekly,"2025-01-26 00:00:00",Conventional,1.087168789,2608002.32,1419181.94,206149.82,2885.64,979784.92,,,
Plains,Weekly,"2025-01-19 00:00:00",Conventional,1.027364336,2751605.45,1588485.79,202819.17,2603.36,957697.12,,,
Plains,Weekly,"2025-01-12 00:00:00",Conventional,1.005279281,2661025.10,1636498.16,129057.08,3343.49,892126.37,,,
Plains,Weekly,"2025-01-06 00:00:00",Conventional,0.975211690,2946404.30,1832183.06,148774.30,3976.31,961470.63,,,
"South Central",Weekly,"2025-01-26 00:00:00",Conventional,0.977196908,5557862.63,3423945.97,457654.81,12870.85,1663391.00,,,
"South Central",Weekly,"2025-01-19 00:00:00",Conventional,0.915784495,6384415.60,3893368.29,536679.44,10326.97,1944040.91,,,
"South Central",Weekly,"2025-01-12 00:00:00",Conventional,0.925202666,6092223.78,3790569.80,510099.79,10145.54,1781408.66,,,
"South Central",Weekly,"2025-01-06 00:00:00",Conventional,0.952545977,5916864.91,3488922.66,507272.77,10918.41,1909751.07,,,
Southeast,Weekly,"2025-01-26 00:00:00",Conventional,1.169406336,6573779.87,4011198.73,187338.28,3040.06,2372202.80,,,
Southeast,Weekly,"2025-01-19 00:00:00",Conventional,1.088764718,6913359.99,3962332.95,241662.77,3456.60,2705907.67,,,
Southeast,Weekly,"2025-01-12 00:00:00",Conventional,1.097612330,7215111.88,4105033.04,285929.18,3888.40,2820261.26,,,
Southeast,Weekly,"2025-01-06 00:00:00",Conventional,1.090750858,7195956.64,4575883.26,370405.40,3303.92,2246364.06,,,
West,Weekly,"2025-01-26 00:00:00",Conventional,1.162243424,7692052.82,4563420.73,1161827.77,89147.24,1877657.09,,,
West,Weekly,"2025-01-19 00:00:00",Conventional,1.225995146,7064424.53,4101927.56,1113514.24,83566.27,1765416.47,,,
West,Weekly,"2025-01-12 00:00:00",Conventional,1.180462594,7891562.36,4716655.19,1337166.29,99048.06,1738692.82,,,
West,Weekly,"2025-01-06 00:00:00",Conventional,1.290100223,7520966.43,3681022.19,1945540.28,113161.21,1781242.75,,,
Albany,Weekly,"2025-01-26 00:00:00",Organic,1.380958452,6827.96,403.76,1.96,0.00,6422.24,,,
Albany,Weekly,"2025-01-19 00:00:00",Organic,1.453858014,5765.66,191.21,279.24,0.00,5295.21,,,
Albany,Weekly,"2025-01-12 00:00:00",Organic,1.582380056,4684.04,242.27,295.02,0.00,4146.75,,,
Albany,Weekly,"2025-01-06 00:00:00",Organic,1.478733217,6610.36,249.10,276.98,0.00,6084.29,,,
Atlanta,Weekly,"2025-01-26 00:00:00",Organic,1.925593572,39716.52,15.60,8936.34,0.00,30764.58,,,
Atlanta,Weekly,"2025-01-19 00:00:00",Organic,1.953923402,44217.84,27.65,10206.85,0.00,33983.35,,,
Atlanta,Weekly,"2025-01-12 00:00:00",Organic,1.990485109,38543.29,27.06,8883.42,0.00,29632.81,,,
Atlanta,Weekly,"2025-01-06 00:00:00",Organic,1.775097821,44016.75,38.25,7264.27,0.00,36714.23,,,
Baltimore/Washington,Weekly,"2025-01-26 00:00:00",Organic,1.471153147,128747.24,1608.53,7976.96,0.00,119161.75,,,
Baltimore/Washington,Weekly,"2025-01-19 00:00:00",Organic,1.492926360,106550.26,947.17,6131.44,0.00,99471.65,,,
Baltimore/Washington,Weekly,"2025-01-12 00:00:00",Organic,1.643831871,91557.44,594.49,10906.96,0.00,80055.99,,,
Baltimore/Washington,Weekly,"2025-01-06 00:00:00",Organic,1.453774707,137801.95,783.95,10664.81,0.00,126353.20,,,
Birmingham/Montgomery,Weekly,"2025-01-26 00:00:00",Organic,1.412308394,19042.07,36.15,738.52,0.00,18267.40,,,
Birmingham/Montgomery,Weekly,"2025-01-19 00:00:00",Organic,1.449356005,17230.47,44.25,776.62,0.00,16409.60,,,
Birmingham/Montgomery,Weekly,"2025-01-12 00:00:00",Organic,1.362517662,20723.63,49.30,813.31,0.00,19861.02,,,
Birmingham/Montgomery,Weekly,"2025-01-06 00:00:00",Organic,1.301553158,25193.58,56.43,552.43,0.00,24584.71,,,
Boise,Weekly,"2025-01-26 00:00:00",Organic,2.280328408,8824.84,13.23,4767.60,0.00,4044.00,,,
Boise,Weekly,"2025-01-19 00:00:00",Organic,2.328841172,8668.78,5.67,4962.93,0.00,3700.18,,,
Boise,Weekly,"2025-01-12 00:00:00",Organic,2.198482844,8626.90,8.13,4414.71,0.00,4204.06,,,
Boise,Weekly,"2025-01-06 00:00:00",Organic,2.121565009,6639.54,7.56,3051.20,0.00,3580.79,,,
Boston,Weekly,"2025-01-26 00:00:00",Organic,1.705328674,40139.62,300.27,562.96,0.00,39276.40,,,
Boston,Weekly,"2025-01-19 00:00:00",Organic,1.737435566,40249.36,168.94,699.97,0.00,39380.45,,,
Boston,Weekly,"2025-01-12 00:00:00",Organic,1.700081551,38688.76,356.91,788.69,0.00,37543.16,,,
Boston,Weekly,"2025-01-06 00:00:00",Organic,1.530344949,41404.77,267.51,701.04,0.00,40436.23,,,
Buffalo/Rochester,Weekly,"2025-01-26 00:00:00",Organic,1.334728400,24793.65,362.37,4.49,0.00,24426.79,,,
Buffalo/Rochester,Weekly,"2025-01-19 00:00:00",Organic,1.425763132,20263.65,389.08,2.05,0.00,19872.51,,,
Buffalo/Rochester,Weekly,"2025-01-12 00:00:00",Organic,1.846464151,12580.89,439.41,23.86,0.00,12117.62,,,
Buffalo/Rochester,Weekly,"2025-01-06 00:00:00",Organic,1.487731076,21236.36,479.55,95.30,0.00,20661.52,,,
Charlotte,Weekly,"2025-01-26 00:00:00",Organic,1.462026687,47316.25,1809.73,1794.07,0.00,43712.45,,,
Charlotte,Weekly,"2025-01-19 00:00:00",Organic,1.420160893,44911.30,950.53,1966.24,0.00,41994.53,,,
Charlotte,Weekly,"2025-01-12 00:00:00",Organic,1.439254972,47121.41,118.31,2340.63,0.00,44662.48,,,
Charlotte,Weekly,"2025-01-06 00:00:00",Organic,1.419276444,50999.51,142.20,2715.34,0.00,48141.97,,,
Chicago,Weekly,"2025-01-26 00:00:00",Organic,1.542386927,103595.58,1910.55,41893.82,0.00,59791.21,,,
Chicago,Weekly,"2025-01-19 00:00:00",Organic,1.602392412,89271.44,1183.97,39608.06,0.00,48479.41,,,
Chicago,Weekly,"2025-01-12 00:00:00",Organic,1.601750181,103179.27,2616.16,45504.30,0.00,55058.82,,,
Chicago,Weekly,"2025-01-06 00:00:00",Organic,1.450589593,95443.59,2429.71,27900.16,0.00,65113.72,,,
Cincinnati/Dayton,Weekly,"2025-01-26 00:00:00",Organic,2.188014696,27165.85,537.07,9557.45,0.00,17071.33,,,
Cincinnati/Dayton,Weekly,"2025-01-19 00:00:00",Organic,2.339180251,24198.27,716.58,9712.13,0.00,13769.56,,,
Cincinnati/Dayton,Weekly,"2025-01-12 00:00:00",Organic,2.261224923,20381.83,973.00,7676.32,0.00,11732.52,,,
Cincinnati/Dayton,Weekly,"2025-01-06 00:00:00",Organic,2.036517394,32374.58,655.43,10213.40,0.00,21505.75,,,
Columbus,Weekly,"2025-01-26 00:00:00",Organic,1.776008861,17318.10,999.30,3788.67,0.00,12530.13,,,
Columbus,Weekly,"2025-01-19 00:00:00",Organic,2.010315160,13584.72,3036.16,2429.88,0.00,8118.69,,,
