Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Midsouth,Weekly,"2025-01-06 00:00:00",Organic,1.478012460,496426.22,9166.00,40747.44,0.00,446512.78,,,
Northeast,Weekly,"2025-01-26 00:00:00",Organic,1.521320004,423388.28,18969.69,15546.44,0.00,388872.15,,,
Northeast,Weekly,"2025-01-19 00:00:00",Organic,1.558921121,352343.90,16362.85,13575.65,0.00,322405.40,,,
Northeast,Weekly,"2025-01-12 00:00:00",Organic,1.614106247,354055.64,21526.17,19069.60,0.00,313459.87,,,
Northeast,Weekly,"2025-01-06 00:00:00",Organic,1.476429609,420655.25,21316.91,17386.40,0.00,381951.93,,,
Plains,Weekly,"2025-01-26 00:00:00",Organic,1.347464151,159879.97,15106.19,1278.47,0.00,143495.31,,,
Plains,Weekly,"2025-01-19 00:00:00",Organic,1.355374160,158808.72,16116.33,1958.08,0.00,140734.31,,,
Plains,Weekly,"2025-01-12 00:00:00",Organic,1.319641802,142051.05,14308.65,1872.20,0.00,125870.20,,,
Plains,Weekly,"2025-01-06 00:00:00",Organic,1.338490639,156977.52,19427.05,3015.07,0.00,134535.41,,,
"South Central",Weekly,"2025-01-26 00:00:00",Organic,1.383615053,240394.50,45603.97,3755.35,0.00,191035.17,,,
"South Central",Weekly,"2025-01-19 00:00:00",Organic,1.400740342,259862.64,59224.47,4289.73,0.00,196348.45,,,
"South Central",Weekly,"2025-01-12 00:00:00",Organic,1.345603027,251127.72,64615.47,4047.32,0.00,182464.93,,,
"South Central",Weekly,"2025-01-06 00:00:00",Organic,1.400295765,245724.59,60592.20,3579.01,0.00,181553.38,,,
Southeast,Weekly,"2025-01-26 00:00:00",Organic,1.500889323,390164.92,2743.62,17549.97,0.00,369871.33,,,
Southeast,Weekly,"2025-01-19 00:00:00",Organic,1.568136290,341456.01,2415.48,20706.10,0.00,318334.44,,,
Southeast,Weekly,"2025-01-12 00:00:00",Organic,1.503276372,367651.19,2283.72,17770.24,0.00,347597.23,,,
Southeast,Weekly,"2025-01-06 00:00:00",Organic,1.441297777,432779.52,2572.23,15669.99,0.00,414537.29,,,
West,Weekly,"2025-01-26 00:00:00",Organic,2.011389015,372961.65,84600.53,96389.50,487.62,191483.99,,,
West,Weekly,"2025-01-19 00:00:00",Organic,1.910943775,424505.82,91163.38,121507.92,1175.58,210658.93,,,
West,Weekly,"2025-01-12 00:00:00",Organic,1.931362473,431678.20,98540.03,135799.69,37.80,197300.68,,,
West,Weekly,"2025-01-06 00:00:00",Organic,2.028248366,419383.84,95007.99,122755.32,31.19,201589.35,,,
Albany,Weekly,"2025-02-23 00:00:00",Conventional,1.082815241,144074.83,58650.53,48007.70,173.65,37242.96,,,
Albany,Weekly,"2025-02-16 00:00:00",Conventional,1.057759712,150031.88,60069.13,49488.28,180.94,40293.53,,,
Albany,Weekly,"2025-02-09 00:00:00",Conventional,0.973321592,223979.23,88793.04,87317.42,259.41,47609.36,,,
Albany,Weekly,"2025-02-02 00:00:00",Conventional,1.073588440,154443.70,54613.92,55672.41,254.25,43903.12,,,
Atlanta,Weekly,"2025-02-23 00:00:00",Conventional,1.294192847,844020.12,526886.23,47288.32,81.28,269764.29,,,
Atlanta,Weekly,"2025-02-16 00:00:00",Conventional,1.226893115,833694.07,569587.19,48000.48,74.26,216032.13,,,
Atlanta,Weekly,"2025-02-09 00:00:00",Conventional,1.181920338,1047766.05,762767.99,48937.90,33.76,236026.41,,,
Atlanta,Weekly,"2025-02-02 00:00:00",Conventional,1.241179777,866331.49,594762.10,43618.52,22.04,227928.84,,,
Baltimore/Washington,Weekly,"2025-02-23 00:00:00",Conventional,1.252861772,1245427.58,552914.51,137236.58,2270.58,553005.91,,,
Baltimore/Washington,Weekly,"2025-02-16 00:00:00",Conventional,1.193579641,1430680.57,667105.67,166616.72,2155.14,594803.05,,,
Baltimore/Washington,Weekly,"2025-02-09 00:00:00",Conventional,1.193062344,1550915.37,752258.90,180234.99,3170.02,615251.47,,,
Baltimore/Washington,Weekly,"2025-02-02 00:00:00",Conventional,1.242527363,1334455.77,578934.51,176226.03,1793.37,577501.86,,,
Birmingham/Montgomery,Weekly,"2025-02-23 00:00:00",Conventional,1.128272638,399650.70,253838.34,5689.73,765.20,139357.43,,,
Birmingham/Montgomery,Weekly,"2025-02-16 00:00:00",Conventional,1.160084075,413423.51,277581.72,6249.90,756.89,128835.00,,,
Birmingham/Montgomery,Weekly,"2025-02-09 00:00:00",Conventional,1.094289519,498059.14,349090.22,7209.24,1025.37,140734.31,,,
Birmingham/Montgomery,Weekly,"2025-02-02 00:00:00",Conventional,1.198432861,421034.26,265283.42,5584.81,728.68,149437.35,,,
Boise,Weekly,"2025-02-23 00:00:00",Conventional,1.155567938,136895.64,83851.38,20075.69,81.83,32886.74,,,
Boise,Weekly,"2025-02-16 00:00:00",Conventional,1.144658342,134842.32,85582.58,19712.65,154.47,29392.62,,,
Boise,Weekly,"2025-02-09 00:00:00",Conventional,1.123826146,169437.49,84052.86,26184.51,166.12,59034.00,,,
Boise,Weekly,"2025-02-02 00:00:00",Conventional,1.281662694,130220.71,69247.19,27050.58,118.80,33804.15,,,
Boston,Weekly,"2025-02-23 00:00:00",Conventional,1.273428443,651913.78,287475.34,167201.91,286.37,196950.16,,,
Boston,Weekly,"2025-02-16 00:00:00",Conventional,1.006461609,973168.95,514622.28,260208.03,214.97,198123.66,,,
Boston,Weekly,"2025-02-09 00:00:00",Conventional,1.107464281,887944.45,409128.75,245588.01,567.78,232659.92,,,
Boston,Weekly,"2025-02-02 00:00:00",Conventional,1.083006812,805902.81,375700.47,229071.12,370.56,200760.65,,,
Buffalo/Rochester,Weekly,"2025-02-23 00:00:00",Conventional,1.132368980,240721.85,78322.42,34537.65,1116.34,126745.44,,,
Buffalo/Rochester,Weekly,"2025-02-16 00:00:00",Conventional,1.086391018,248005.54,78034.89,29043.91,657.92,140268.82,,,
Buffalo/Rochester,Weekly,"2025-02-09 00:00:00",Conventional,1.119918448,330585.76,130054.25,37442.30,1154.00,161935.22,,,
Buffalo/Rochester,Weekly,"2025-02-02 00:00:00",Conventional,1.200578026,270371.63,76425.07,40488.17,1102.75,152355.65,,,
Charlotte,Weekly,"2025-02-23 00:00:00",Conventional,1.192723349,484050.13,212867.37,65022.78,439.91,205720.07,,,
Charlotte,Weekly,"2025-02-16 00:00:00",Conventional,1.234409852,473724.38,204470.44,61991.38,455.03,206807.52,,,
Charlotte,Weekly,"2025-02-09 00:00:00",Conventional,1.105885463,623004.82,316798.42,84886.08,429.81,220890.51,,,
Charlotte,Weekly,"2025-02-02 00:00:00",Conventional,1.233366951,493467.13,212737.52,62642.65,448.33,217638.65,,,
Chicago,Weekly,"2025-02-23 00:00:00",Conventional,0.905697814,1716554.15,707494.35,127138.34,33408.41,848513.05,,,
Chicago,Weekly,"2025-02-16 00:00:00",Conventional,1.031931162,1361753.56,779582.79,132990.46,52470.40,396709.92,,,
Chicago,Weekly,"2025-02-09 00:00:00",Conventional,1.025442666,2013982.38,1303852.01,246330.14,73517.94,390282.29,,,
Chicago,Weekly,"2025-02-02 00:00:00",Conventional,1.055462779,1369845.84,824755.90,96072.36,31719.63,417297.94,,,
Cincinnati/Dayton,Weekly,"2025-02-23 00:00:00",Conventional,1.260919363,386352.66,198018.61,31000.73,280.88,157052.43,,,
Cincinnati/Dayton,Weekly,"2025-02-16 00:00:00",Conventional,1.166464114,349661.49,238211.18,50022.85,536.43,60891.03,,,
Cincinnati/Dayton,Weekly,"2025-02-09 00:00:00",Conventional,1.107067435,443390.33,322622.37,55798.12,488.38,64481.47,,,
Cincinnati/Dayton,Weekly,"2025-02-02 00:00:00",Conventional,1.277646234,335891.49,232720.76,35971.40,283.52,66915.81,,,
Columbus,Weekly,"2025-02-23 00:00:00",Conventional,1.205302519,318733.63,144631.96,44766.32,231.74,129103.62,,,
Columbus,Weekly,"2025-02-16 00:00:00",Conventional,1.109037459,307267.05,192591.19,38819.52,303.71,75552.63,,,
Columbus,Weekly,"2025-02-09 00:00:00",Conventional,1.049214600,375883.83,220445.65,75808.05,565.28,79064.86,,,
